,Unnamed: 0,Cd,name,num_Movie,filmos,num_Movie_edited,difference
80,80,10073878,카야노 아이,3,"['주문은 토끼입니까?? ~디어 마이 시스터~', '마징가 Z: 인피니티', '걸즈 앤 판처 최종장']",3,0
81,81,20368701,박시윤,6,"['리틀 뱀파이어', '신비아파트 극장판 하늘도깨비 대 요르문간드', '극장판 천재 추리 탐정 셜록홈즈', '특수요원 빼꼼', '빅샤크4: 바다공룡 대모험', '몬스터 신부: 101번째 프로포즈']",6,0
82,82,20373896,김용,4,"['리틀 뱀파이어', '극장판 천재 추리 탐정 셜록홈즈', '몬스터 아카데미', '빅샤크4: 바다공룡 대모험']",4,0
83,83,20180563,최정현,5,"['리틀 뱀파이어', '캡틴 샤키', '프린스 코기', '몬스터 아카데미', '몬스터 신부: 101번째 프로포즈']",5,0
84,84,20303469,장병관,6,"['리틀 뱀파이어', '매직빈', '벅스 프렌즈', '빅샤크: 매직체인지', '빅샤크2: 해저2만리', '특수요원 빼꼼']",6,0
85,85,10070989,짐 카터,2,"['리틀 뱀파이어', '굿 라이어']",2,0
86,86,20176881,라스무스 하디커,1,['리틀 뱀파이어'],1,0
87,87,10081873,팀 피곳 스미스,1,['리틀 뱀파이어'],1,0
88,88,10019770,리암 니슨,9,"['커뮤터', '콜드 체이싱', '맨 인 블랙: 인터내셔널', '킹덤 오브 헤븐: 디렉터스 컷', '어니스트 씨프', '마크맨', '아이스 로드', '메이드 인 이태리', '블랙라이트']",9,0
89,89,10030781,베라 파미가,4,"['커뮤터', '고질라: 킹 오브 몬스터', '애나벨 집으로', '컨저링3: 악마가 시켰다']",4,0
90,90,10082678,패트릭 윌슨,6,"['커뮤터', '아쿠아맨', '애나벨 집으로', '미드웨이', '컨저링3: 악마가 시켰다', '문폴']",6,0
91,91,10034941,샘 닐,5,"['커뮤터', '피터 래빗', '라라걸', '완벽한 가족', '쥬라기 월드: 도미니언']",5,0
92,92,10004396,김상경,4,"['1급기밀', '궁합', '사라진 밤', '공기살인']",4,0
93,93,10005064,김옥빈,1,['1급기밀'],1,0
94,94,10072210,최무성,7,"['1급기밀', '항거:유관순 이야기', '롱 리브 더 킹: 목포 영웅', '뜨거운 피', '배니싱: 미제사건', '올빼미', '탄생']",7,0
95,95,20115207,최귀화,7,"['1급기밀', '말모이', '롱 리브 더 킹: 목포 영웅', '기방도령', '광대들: 풍문조작단', '범죄도시2', '늑대사냥']",7,0
96,96,10004305,김병철,2,"['1급기밀', '이웃사촌']",2,0
97,97,10072103,최고,2,"['1급기밀', '어쩌다, 결혼']",2,0
98,98,20199635,이지원,2,"['1급기밀', '히트맨']",2,0
99,99,20221406,서현우,19,"['1급기밀', '사라진 밤', '7년의 밤', '독전', '죄 많은 소녀', '배심원들', '난폭한 기록', '난폭한 기록', '나를 찾아줘', '백두산', '해치지않아', '남산의 부장들', '침입자', '새해전야', '혼자 사는 사람들', '괴기맨숀', '유체이탈자', '헤어질 결심', '정직한 후보2']",18,1
100,100,20195568,이상철,3,"['1급기밀', '번개맨의 비밀', '번개맨의 비밀']",2,1
101,101,20195903,이승훈,11,"['1급기밀', '공작', '해피 투게더', '여곡성', '걸캅스', '악인전', '니 부모 얼굴이 보고 싶다', '카시오페아', '공조2: 인터내셔날', '늑대사냥', '탄생']",11,0
102,102,20254941,이윤혁,1,['1급기밀'],1,0
103,103,20314910,신윤정,2,"['1급기밀', '정직한 후보2']",2,0
104,104,20315031,김태민,1,['1급기밀'],1,0
105,105,20315935,유영호,1,['1급기밀'],1,0
106,106,20317669,최보연,1,['1급기밀'],1,0
107,107,20196427,김민정,1,['1급기밀'],1,0
108,108,20318953,김성진,1,['1급기밀'],1,0
109,109,20165223,김우진,3,"['1급기밀', '골든슬럼버', '인랑']",3,0
110,110,10004180,김민기,1,['1급기밀'],1,0
111,111,20143709,권태원,2,"['1급기밀', '마녀']",2,0
112,112,20375411,김성민,1,['1급기밀'],1,0
113,113,10029093,박인환,4,"['비밥바룰라', '기묘한 가족', '엑시트', '킹메이커']",4,0
114,114,10040262,신구,2,"['비밥바룰라', '천문: 하늘에 묻는다']",2,0
115,115,10058908,임현식,1,['비밥바룰라'],1,0
116,116,20289229,윤덕용,2,"['비밥바룰라', '세자매']",2,0
117,117,10005410,김인권,7,"['비밥바룰라', '물괴', '배반의 장미', '다시, 봄', '장사리 : 잊혀진 영웅들', '방법: 재차의', '올빼미']",7,0
118,118,10057698,이채은,5,"['비밥바룰라', '증인', '어쩌다, 결혼', '가장 보통의 연애', '야구소녀']",5,0
119,119,10057015,이나라,5,"['비밥바룰라', '살인소설', '어린 의뢰인', '블랙머니', '니 부모 얼굴이 보고 싶다']",5,0
120,120,10072327,최선자,4,"['비밥바룰라', '니 부모 얼굴이 보고 싶다', '룸 쉐어링', '헤어질 결심']",4,0
121,121,10035845,성병숙,7,"['비밥바룰라', '덕구', '가장 보통의 연애', '블랙머니', '더 박스', '스텔라', '공기살인']",7,0
122,122,20315340,양서연,1,['비밥바룰라'],1,0
123,123,20315853,류현,1,['비밥바룰라'],1,0
124,124,20134142,조용진,3,"['비밥바룰라', '완벽한 타인', '말모이']",3,0
125,125,20123425,강민지,12,"['비밥바룰라', '리틀 포레스트', '바람 바람 바람', '공작', '증인', '사바하', '유열의 음악앨범', '카센타', '소리꾼', '디바', '담보', '특송']",12,0
126,126,20322111,강길우,5,"['비밥바룰라', '스윙키즈', '정말 먼 곳', '브로커', '뒤틀린 집']",5,0
127,127,20378994,김창섭,1,['비밥바룰라'],1,0
