movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
20174104,외출 2 무삭제,,2017,20180320,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '곽영근'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20172867,여자들 : 섹스의 만족도 무삭제,,2017,20180320,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '김부곤'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182666,아내의 몸캠,Video letter from the wife,2016,20180320,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '크왓치'}],[]
20182665,신혼부부,Wants Children,2016,20180320,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '나카메구로 코우지'}],[]
20182365,가래떡의 맛: 감독판,,2018,20180320,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이전'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20174603,퍼시픽 림: 업라이징,Pacific Rim: Uprising,2018,20180321,장편,개봉,미국,"액션,어드벤처,SF",미국,액션,[{'peopleNm': '스티븐 S. 드나이트'}],[]
20172244,치즈인더트랩,Cheese in the Trap,2017,20180314,장편,개봉,한국,"멜로/로맨스,스릴러",한국,멜로/로맨스,[{'peopleNm': '김제영'}],"[{'companyCd': '20174382', 'companyNm': '(주)마운틴무브먼트스토리'}]"
20174168,착한 엄마 무삭제,,2017,20180316,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이리단'}],"[{'companyCd': '20154628', 'companyNm': '(주)영화사 사계절'}]"
20182482,정사:아들의 아내,Iyarasiikannkei,2015,20180316,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '나가에 타카미'}],[]
20182481,절정기:느끼는 여자들,SIOHUKI,2016,20180316,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '나가에 타카미'}],[]
20182483,새아빠,Tuma ga ryokoutyuu ni gimusume to 2rikkiri ni nari sononesugata ni yokujyousite,2016,20180316,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '네지메 지로'}],[]
20177931,매드맥스: 로드 워,Road Wars,2015,20180315,장편,개봉,미국,"액션,SF",미국,액션,[{'peopleNm': '마크 앳킨스'}],[]
20177328,원 나잇 리멤버,10 Years,2011,20180315,장편,개봉,미국,"코미디,드라마",미국,코미디,[{'peopleNm': '제이미 린든'}],[]
20181001,판타스틱 부니베어,Boonie Bears the Big Top Secret,2016,20180315,장편,개봉,중국,"애니메이션,어드벤처",중국,애니메이션,[{'peopleNm': '정량'}],[]
20181721,크레이지 인 러브,Crazy in Love,2017,20180315,장편,개봉,프랑스,멜로/로맨스,프랑스,멜로/로맨스,[{'peopleNm': '재키 카투'}],[]
20189945,운전면허학원 여교사,Found Blow Job Instructor at Driving School 2,2017,20180315,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '모리 신이치'}],[]
20180125,악의 도시,Septembers of Shiraz,2015,20180315,장편,개봉,미국,스릴러,미국,스릴러,[{'peopleNm': '웨인 블레어'}],[]
20178449,쓰리 빌보드,"Three Billboards Outside Ebbing, Missouri",2017,20180315,장편,개봉,미국,"코미디,범죄,드라마",미국,코미디,[{'peopleNm': '마틴 맥도나'}],[]
20170344,스나이퍼,LA RESISTANCE DE L'AIR,2015,20180315,장편,개봉,프랑스,"액션,스릴러",프랑스,액션,[{'peopleNm': '프레드 그리부아'}],[]
20180761,내 친구 엄마,,2017,20180315,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이리단'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20189944,거유 마사지사가 듬뿍,Big Tits Girls at Beauty Salon for Stiff Neck,2017,20180315,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '모리 시게루'}],[]
20174187,120 BPM,120 Beats Per Minute,2017,20180315,장편,개봉,프랑스,드라마,프랑스,드라마,[{'peopleNm': '로빈 캄필로'}],[]
20189382,지구: 놀라운 하루,Earth – One Amazing Day ,2017,20180222,장편,개봉,영국,"다큐멘터리,가족",영국,다큐멘터리,"[{'peopleNm': '범립흔'}, {'peopleNm': '피터 웨버'}]",[]
20177750,레더페이스,LEATHERFACE,2016,20180125,장편,개봉,캐나다,"공포(호러),스릴러",캐나다,공포(호러),"[{'peopleNm': '알렉상드르 뷔스티요'}, {'peopleNm': '줄리엔 모리'}]",[]
20180622,악셀,Axel 2: Adventures of the Spacekids,2017,20180308,장편,개봉,중국,"판타지,애니메이션",중국,판타지,[{'peopleNm': '레오 리'}],[]
20170794,장고 인 멜로디,Django,2017,20180301,장편,개봉,프랑스,드라마,프랑스,드라마,[{'peopleNm': '에티엔느 코마'}],[]
20179228,마야2,Maya the Bee: The Honey Games,2017,20180201,장편,개봉,독일,애니메이션,독일,애니메이션,"[{'peopleNm': '노엘 클리어리'}, {'peopleNm': '세르지오 델피노'}]",[]
20180082,로건 럭키,Logan Lucky,2017,20180314,장편,개봉,미국,"코미디,범죄,드라마,액션",미국,코미디,[{'peopleNm': '스티븐 소더버그'}],[]
20178469,올 더 머니,All the Money in the World,2017,20180201,장편,개봉,미국,"범죄,드라마,미스터리,스릴러",미국,범죄,[{'peopleNm': '리들리 스콧'}],[]
20189461,베러 와치 아웃,Better Watch Out,2016,20180208,장편,개봉,"호주,미국",공포(호러),호주,공포(호러),[{'peopleNm': '크리스 페코버'}],[]
20179163,반도에 살어리랏다,I'll Just Live in Bando,2017,20180125,장편,개봉,한국,"애니메이션,코미디",한국,애니메이션,[{'peopleNm': '이용선'}],"[{'companyCd': '20186721', 'companyNm': '스튜디오 수집'}]"
20179936,풍뎅이뎅이,The Beetles,2017,20180208,옴니버스,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '이재한'}],"[{'companyCd': '20100807', 'companyNm': '(주)디씨지플러스'}, {'companyCd': '20156292', 'companyNm': '(주)엔에이치씨미디어'}]"
20180302,허리케인 하이스트,The Hurricane Heist,2017,20180314,장편,개봉,미국,"액션,범죄",미국,액션,[{'peopleNm': '롭 코헨'}],[]
20182054,연변 아가씨의 맛섹사-무삭제판,,2017,20180314,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이민'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20173550,착한 처형 : 아내를 대신하다 무삭제판,,2017,20180307,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최강호'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20182342,회사에 손해를 끼친 여직원,The price of mistakes,2017,20180309,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '긴다이치 코고로'}],[]
20182050,젊은장모-무삭제,,2017,20180309,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김경훈'}],"[{'companyCd': '20130184', 'companyNm': '스마일컨텐츠'}]"
20175788,흑마술사,Interchange,2016,20180308,장편,개봉,말레이시아,"판타지,SF,스릴러",말레이시아,판타지,[{'peopleNm': '다인 사이드'}],[]
20180564,툼레이더,TOMB RAIDER,2018,20180308,장편,개봉,미국,"액션,어드벤처",미국,액션,[{'peopleNm': '로아 우타우'}],[]
20189949,조교받는 신입 여직원,Chokyo Office,2016,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '우스바시 스이'}],[]
20176083,"아이, 토냐","I, Tonya ",2017,20180308,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '크레이그 질레스피'}],[]
20189950,아내의 하반신 - 가죽소파,Misojiduma no Kahanshin,2016,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '아카바네 류지'}],[]
20189948,산부인과 남자의사,Dirty Obstetrician & Gynecologist,2017,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '오우치 아이리'}],[]
20189742,사촌 누나,,2017,20180308,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '조태호'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20180127,나라타주,Narratage,2017,20180308,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '유키사다 이사오'}],[]
20189963,결혼 상담사가 맘에 들어,Charming Consultants of Marriage Agency,2017,20180308,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '후지타 카오루'}],[]
20176070,플로리다 프로젝트,The Florida Project,2017,20180307,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '션 베이커'}],[]
20178490,온리 더 브레이브,Only the Brave,2017,20180307,장편,개봉,미국,드라마,미국,드라마,[{'peopleNm': '조셉 코신스키'}],[]
20189761,터닝메카드W: 반다인의 비밀 특별판,Turning Mecards W: Secret of Bandain,2018,20180208,장편,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '홍헌표'}],"[{'companyCd': '20172761', 'companyNm': '㈜희원엔터테인먼트'}]"
20180784,마술피리 ,THE MAGIC FLUTE,2017,20180304,장편,개봉,영국,공연,영국,공연,[{'peopleNm': '데이비드 맥비커'}],[]
20182161,정사:그녀의 마지막 섹스,Enmitsu ninjya mimerareta onnashinobi,2015,20180305,장편,개봉,일본,"멜로/로맨스,드라마,액션",일본,멜로/로맨스,[{'peopleNm': '이시카와 지로'}],[]
20182163,성인식:남자로 만들어줄게,Showa Sanson Yobaimura,2016,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '아마엔보 쇼군'}],[]
20182164,남편몰래이웃남자와,Donarinohitoni tasukerareta watasi,2016,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '츠키카게 쿠로우'}],[]
20182162,금지된 장난: 시아주버니,Itoko no Onisan tono Furin,2016,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '키탄'}],[]
20182052,거근이 좋아,Ikaretatuma,2015,20180305,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '나가에 타카미'}],[]
20179344,불륜 동창회,,2017,20180302,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '조태호'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20181365,펭귄-위대한 모험 2,L'empereur,2016,20180301,장편,개봉,프랑스,다큐멘터리,프랑스,다큐멘터리,[{'peopleNm': '뤽 자케'}],[]
20189954,치정-모르는 건 남편뿐,Chijyou,2016,20180301,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '이즈미 류지'}],[]
20180063,라라,Love Again,2018,20180222,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '한상희'}],"[{'companyCd': '20175261', 'companyNm': '(주)도너츠컬처'}]"
20189965,유혹당한 요가교실,Pussy Pilaties after Childbirth,2017,20180301,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '다카사카 나쿠시'}],[]
20189952,야한 짓하는 세 명의 단지처,Dirty complex estate Wife,2017,20180301,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '드래곤 니시카와'}],[]
20189941,셀카 출장마사지,Exclusive Massage Delivery,2017,20180301,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '오무라 히데오'}],[]
20189953,불륜에 바쁜 내 육체,Himegoto,2016,20180301,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '이즈미 류지'}],[]
20189964,두 명의 유부녀와 육덕폭발,A sexual education of a beautiful and irritating lady 2,2017,20180301,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '드래곤 니시카와'}],[]
20189951,다루기 쉬운 육덕 장모,Mother who takes a daughter's husband 2,2017,20180301,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '드래곤 니시카와'}],[]
20181722,이모의 유혹,,2017,20180302,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김경택'}],"[{'companyCd': '20130184', 'companyNm': '스마일컨텐츠'}]"
20179251,전설의 고향,,2015,20180214,장편,개봉,한국,코미디,한국,코미디,[{'peopleNm': '원일구'}],[]
20180581,위험한 채팅,CHAT,2015,20180228,장편,개봉,미국,스릴러,미국,스릴러,[{'peopleNm': '보리스 웩슬러'}],[]
20177947,탱크 독,Red Dog,2016,20180228,장편,개봉,미국,"액션,전쟁",미국,액션,[{'peopleNm': '윌리암 드 비탈'}],[]
20181781,연애사슬,,2018,20180228,장편,개봉,한국,,한국,,[{'peopleNm': '최석원'}],"[{'companyCd': '20100142', 'companyNm': '(주)씨맥스커뮤니케이션즈'}]"
20181441,건마의 신: 어린 아내의 알바,Young Wife's Job ,2017,20180228,장편,개봉,일본,기타,일본,기타,[],[]
20173495,소림사: 고수의 길,Glories of Legend,2017,20180222,장편,개봉,중국,액션,중국,액션,[{'peopleNm': '도효'}],[]
20180101,프리랜서스,Freelancers,2012,20180221,장편,개봉,미국,"액션,범죄,드라마",미국,액션,[{'peopleNm': '제시 테레로'}],[]
20181574,거짓말 애인-감독판,,2017,20180221,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이민'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20180225,동창회의 목적 3,,2017,20180220,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이도시'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20180366,샤크네이도 스톰,Sharknado 3,2015,20180215,장편,개봉,미국,"스릴러,SF",미국,스릴러,[{'peopleNm': '안소니 C. 페란트'}],[]
20178907,섹션제로2-블랙스쿼드,Section Zero ,2016,20180214,장편,개봉,프랑스,"SF,액션,스릴러",프랑스,SF,[{'peopleNm': '올리비에르 마샬'}],[]
20181363,불륜 정사의 맛-감독판,,2017,20180214,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이민'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20178685,무림9대문파-호골매화,Murders of a Mystery Mark,2017,20180214,장편,개봉,중국,기타,중국,기타,[{'peopleNm': '저우시'}],[]
20181364,내 아내의 친구-무삭제판,,2017,20180214,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '엠씨짱'}],"[{'companyCd': '20063099', 'companyNm': '(주)케이알씨지'}]"
20174777,어쩌다 암살클럽,Kills on Wheels,2017,20180213,장편,개봉,헝가리,"액션,코미디",헝가리,액션,[{'peopleNm': '아틸라 틸'}],[]
20177911,미용실 : 특별한 서비스 2,,2017,20180213,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20177026,더 러버스,The Lovers,2013,20180213,장편,개봉,"벨기에,인도,호주","액션,어드벤처,멜로/로맨스,SF",벨기에,액션,[{'peopleNm': '롤랑 조페'}],[]
20180867,부부 교환의 날 2017 (무삭제),,2016,20180213,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이진'}],"[{'companyCd': '20112175', 'companyNm': '(주)소나무픽쳐스'}]"
20181461,뉴저지 사이코킬러,The Evangelist ,2017,20180210,장편,개봉,미국,,미국,,[],[]
20168593,퍼스트 스텝,First Step,2016,20180208,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '김규민'}],"[{'companyCd': '20186961', 'companyNm': '(주)한마음프로덕션'}]"
20181081,이스케이프 플랜: 코드네임 제로,The Temple,2016,20180206,장편,개봉,미국,액션,미국,액션,[{'peopleNm': '존 스톡웰'}],[]
20180662,터미네이터 사이보그,Cyborg X,2017,20180202,장편,개봉,미국,"액션,공포(호러)",미국,액션,[],[]
20189881,블러드 골드: 트레저 헌터,"BLOOD, SAND & GOLD",2017,20180202,장편,개봉,미국,"범죄,액션",미국,범죄,[{'peopleNm': '갤란 코넬'}],[]
20180362,레지던트 이블 좀비,Dead 7,2016,20180202,장편,기타,미국,"공포(호러),서부극(웨스턴),코미디",미국,공포(호러),[{'peopleNm': '대니 로우'}],[]
20177930,타임 러쉬,Time Rush,2016,20180208,장편,개봉,미국,액션,미국,액션,[{'peopleNm': '다니엘 지릴리'}],[]
20180701,내 여자가 된 형수,,2018,20180201,장편,개봉,한국,기타,한국,기타,"[{'peopleNm': '최석원'}, {'peopleNm': '최석원'}]","[{'companyCd': '20100142', 'companyNm': '(주)씨맥스커뮤니케이션즈'}]"
20177096,공즉시색 2,,2017,20180201,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '이리단'}],"[{'companyCd': '20161021', 'companyNm': '(주)영화사가을'}]"
20179263,게스트하우스,Guest House,2017,20180222,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마,"[{'peopleNm': '조성규'}, {'peopleNm': '이규회'}, {'peopleNm': '조성규'}]","[{'companyCd': '20141039', 'companyNm': '하준사'}]"
20180046,세번째 밤,3rd Night,2017,20180222,장편,개봉,호주,공포(호러),호주,공포(호러),[{'peopleNm': '아담 그레블리'}],[]
20181481,펭이와 친구들의 남극대모험,Polar adventure,2016,20180228,장편,개봉,중국,"애니메이션,어드벤처,코미디",중국,애니메이션,[{'peopleNm': '루카스 퀴아오'}],[]
20181987,아버지의 애인,A mistress of father,2016,20180228,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '긴다이치 코고로'}],[]
20181986,아내의 비밀스러운 아르바이트,GAL wife of secret a part-time job,2016,20180228,장편,개봉,일본,드라마,일본,드라마,[{'peopleNm': '오자키 히로코우지'}],[]
