index,companyCd,companyNm,companyNmEn,companyPartNames,ceoNm,filmoNames
9,20157108,(주)영화사 안다미로,Andamiro films,"배급사,수입사",윤혜진,"루비콘,애프터썬,에브리띵 윌 체인지,우연과 상상,던전 드래곤,데스 게임,보이 비하인드 도어,사일런스 앤드 다크니스,스파이: 타임 투 저스티스,300: 전사의 귀환,노 맨스 랜드,스카이라인: 라스트 워,주짓수,캔디 위치,스마일 페이스 킬러,웬디고: 전설의 몬스터,런 런 런,죽고 싶은 인간들의 밤,돈 스피크,코벤,메가 블리자드,해피 데스데이: 악마의 큐피드,얼론,루아나의 세계,놈놈놈: 캔자스의 무법자,라스트 카우보이,기묘한 이야기: 리플레이,애비게일의 저주,오션스 게임,위자 크래프트,지구 침공: 컨테이젼,1864: 남북전쟁,코코: 죽은 자들의 세상 ,콜: 사라진 여자들,윙스 오버 에베레스트,워 히어로: 솔져 오브 갓,바이킹: 블러드 워,바이러스 Z: 백신 대참사,로맨틱 코미디,데빌 인사이드 미,검은 사제들: 지옥의 문,연애의 참견: 사랑 공포증,죽이는 여자,헤리티지,무협: 더 코드,사냥의 시간: 데스 게임,맨슨 패밀리,블러드: 궁금한 이야기,웨이크필드 프로젝트,피쉬 스쿨 2,피쉬 스쿨,아메리칸 호러 스토리: 메리메이커의 살인자,존과 맥의 요상한 우주여행,쥬라기 펫의 모험,루프홀,스코어 투 셔틀,베를린, 아이 러브 유,몬스터 아카데미,범죄도시: 나쁜놈들 전성시대,365일: 비밀의 여자,데드맨 스탠딩,하바나 다크니스,할로윈: 살인마 잭,다운시커,쥬라기 프레데터,델리리움,트러블 위드 유,파이널 스코어,그곳,데빌 인 더 캐빈,라이즈 위 텔,꼬마 보트 토토: 타요 타요 배 타요,스틸 리메인즈,데드 스토리,13일의 금요일: 더 파이널,악셀,겨울왕국의 무민,배드 캅,아임 낫 히어,퍼스트 킬,킹덤: 아메리칸 좀비,새벽의 저주: 악령의 부활,엄마의 레시피,익스트림 파이트 클럽,지구침공: 인류 최후의 날,엑소시스트: 사탄의 부활,걸스 나잇,은판 위의 여인,파울라,인어공주 이야기 ,런던 타운,순종,바다의 뚜껑,골드 랜섬,슈퍼 버드,폭력의 법칙: 나쁜 피 두 번째 이야기,히치콕 트뤼포,프랑코포니아,마이크롭 앤 가솔린,고양이 사무라이 2,러브 앤 피스,리얼 술래잡기,앨리스: 원더랜드에서 온 소년,햄릿: 죽느냐 사느냐,컨트롤 그룹,핀두스 이야기,위시 아이 워즈 히어,루비 스팍스,홀리 모터스,미스터 노바디,하얀리본,미스터 노바디: 감독판,옥스포드 살인사건,할리우드 폭로전,아녜스의 해변,라 비 앙 로즈,수면의 과학,히든,커피와 담배,파 프롬 헤븐,멀홀랜드 드라이브,아멜리에,이삭줍는 사람들과 나,원더풀 라이프,가을이야기,뤽 베송의 택시 ,퍼니게임 ,라빠르망,여름이야기,로스트 하이웨이 ,데드 맨,세 가지 색: 레드,세 가지 색 : 화이트,세 가지 색 : 블루,트윈 픽스 ,겨울 이야기 ,토토의 천국,베로니카의 이중생활,낭트의 자코,지상의 밤,봄 이야기,빽 투 더 퓨쳐 2,미스테리 트레인,살인에 관한 짧은 필름,사랑에 관한 짧은 필름 ,내 여자친구의 남자친구,녹색광선,다운 바이 로,빽 투 더 퓨쳐,방랑자,천국보다 낯선,해변의 폴린,영원한 휴가,이레이저 헤드,노래하는 여자, 노래하지 않는 여자,데이빗 린치 단편선,수집가,행복,새,5시부터 7시까지의 클레오,싸이코,현기증,이창,서스피션...총 165편"
0,20189281,(주)에이스메이커무비웍스,ACEMAKER MOVIEWORKS,"제작사,배급사,수입사",정현주,"댓글부대(가제),폭군,앵커,경관의 피,노량: 죽음의 바다,승부,리멤버,새해전야,소리도 없이,그대에게(가제),더러운 돈에 손대지 마라,보호자(가제),소방관,원더랜드,사라진 시간,침입자,해치지않아,블랙머니,변신,악인전,바이러스(가제),출장수사"
1,20230041,핑스토리,,제작사,,"은밀한 비밀 상담소,BJ여동생의 VIP 팬방 : 내 동생이 벗방에 초대 됐다,몸으로 하는 이모의 영업 비밀"
2,20239901,스튜디오 에이드,,배급사,안수현,6번 칸
3,20239679,주식회사 피에스앤제이,,"제작사,배급사,수입사",박명성,
4,20228864,창원영화제작소,ChangwonFilm,제작사,박재현,
5,20204721,CGV ICECON,CGV ICECON,"제작사,배급사,수입사,상영업",최병환,"엘 카미노,아임 히어로 더 파이널,스타게이저: 아스트로스코프,핑크퐁과 아기상어의 월드투어쇼,세븐틴 파워 오브 러브 : 더 무비,장민호 드라마 최종회,블루버스데이,잔나비 판타스틱 올드패션드 리턴즈! x 넌센스 Ⅱ,온 더 로드,킬러파티 (양수리 살인사건),국카스텐 콘서트 실황 : 해프닝,정브르의 동물일기,베르테르,몬테크리스토: 더 뮤지컬 라이브,래드윔프스 안티 안티 제너레이션 2019,브레이크 더 사일런스: 더 무비,공포체험라디오 4DX,브링 더 소울 : 더 무비,뮤지컬 킹키부츠 라이브,프라도 위대한 미술관 ,예르미타시 예술의 힘,더 데빌,프랑켄슈타인"
6,20239678,(주)플필,,"제작사,배급사,수입사,상영업",류민국,
7,20204943,영화사앙,,배급사,김미조,
8,20239677,(주)영화사김치,,제작사,정유동,웅남이
9,20230004,파라독스 스튜디오,PARADOX STUDIO,제작사,최준하,
0,20230003,(주)에메리따,,제작사,최해숙,
1,20230002,기린스튜디오,KIRIN STUDIO,제작사,임동익,
2,20239676,예술로 통한다,,제작사,이소리,
3,20063193,(주)드림캡쳐,Studio Dream Capture,제작사,김미희,"장산범,숨바꼭질,페이스메이커,뻑킹 세븐틴,뱀파이어와의 인터뷰"
4,20239675,만타,MANTA,제작사,차지원,
5,20217883,(주)영화사 순수,,"제작사,배급사",이창열,"그대 어이가리,에덴의 남쪽"
6,20231,주식회사 무비프리,,제작사,유영경,
7,20239983,제이림,,제작사,정영애,
8,20239674,Production S.F.S,,제작사,신아가,
9,20239982,시네마 파인,,제작사,조은솔,
0,20239981,벤티지필름코리아,,제작사,이혁종,
1,20101574,(주)벤티지홀딩스,Vantageholdings,제작사,차주동,"페이스메이커,챔프,참을 수 없는,펜트하우스 코끼리,정승필 실종사건,차우,미쓰 홍당무,크로싱,추격자,내 사랑,스카우트"
2,20100558,(주)바른손이앤에이,Barunson E&A,"제작사,배급사,수입사,제공","곽신애, 박진홍","리바운드,기생충,가려진 시간,희생부활자,표적,5백만불의 사나이,커플즈,방자전,마더 앤 차일드,미 투,마더,좋은 놈, 나쁜 놈, 이상한 놈 ,좋은 놈, 나쁜 놈, 이상한 놈(칸버전),헨젤과 그레텔,효자동 이발사,마지막 늑대,장화, 홍련,로드무비,정글쥬스,와니와 준하,고양이를 부탁해,썸머 타임,인디안 썸머,기억을 만나다"
3,20218024,주식회사 아웃런브라더스픽처스,"Outrunbrotherspictures Co., Ltd.",제작사,임윤정,보이지 않아
4,20190841,시소픽쳐스,Seesaw Pictures,"제작사,배급사",Heejung Oh,"백남준: 전자 초고속도로 위의 예술가,드래곤 우먼,퀴어 마이 프렌즈,해적판: 미래,The One Who Runs Away Is the Ghost,아예나,포옹,좋은 빛, 좋은 공기,A RIFLE AND A BAG,리틀 노마드,착지연습,사랑에 관하여,사막의 진주,버블 패밀리,피의 연대기,려행,위켄즈,위로공단,목숨,어느 의대생의 죽음,딜러버리 댄서의 구,수리솔 수중 연구소에서,다공성 계곡 2: 트릭스터 플롯"
5,20138057,주식회사 모모스토리샵,,제작사,정재휘,소금별
6,20239962,주식회사 퍼니필름,FUNI FILMS ,제작사,김경선,보이지 않아
7,20229201,HUNDRED12,,제작사,원호연,
8,20239961,창작집단 NOMAD,group. NOMAD,"제작사,배급사",황동욱,
9,20239672,빈 필름,Bean Film,제작사,최다빈,
0,20141469,플러스엠 엔터테인먼트,Plus M Entertainment,"제작사,배급사,수입사",홍정인,"교섭,쥬라기캅스 극장판: 공룡시대 대모험,헌트,범죄도시2,드림,서울의 봄,크로스,탈주,화란,젠틀맨,서울괴담,킹메이커,파이프라인,대외비,유체이탈자,아이들은 즐겁다,미드나이트 스카이,더 프롬,맹크,힐빌리의 노래,트라이얼 오브 더 시카고 7,디바,보고타,자산어보,오케이 마담,너와 파도를 탈 수 있다면,감쪽같은 그녀,엔젤 해즈 폴른,매튜 본의 백조의 호수,날씨의 아이,나랏말싸미,롱 리브 더 킹: 목포 영웅,헬보이,지푸라기라도 잡고 싶은 짐승들,미스터 주: 사라진 VIP,기묘한 가족,미래의 미라이,은혼2: 규칙은 깨라고 있는 것,도어락,명당,리틀 포레스트,썬키스 패밀리,너의 결혼식,변산,덕구,커뮤터,기억의 밤,부라더,범죄도시,스파이 게임,로마의 휴일,박열,슈퍼 빼꼼: 스파이 대작전,아빠는 딸,분노,신 고질라,딥워터 호라이즌,너의 이름은.,로스트 인 더스트,비틀스: 에잇 데이즈 어 위크 – 투어링 이어즈,카이: 거울 호수의 전설,국가대표 2,나이스 가이즈,런던 해즈 폴른,22,미씽: 사라진 여자,몽 루아,날, 보러와요,동주,셜록: 유령신부,리틀 보이,더 기프트,춘희막이,미쓰 와이프,제 7기사단,베스트 오브 미,바람의 검심 : 전설의 최후편,이미테이션 게임,워킹걸,일곱난쟁이,워 호스,현기증,제보자,바람의 검심 : 교토 대화재편,아빠를 빌려드립니다,지옥이 뭐가 나빠,씬 시티: 다크히어로의 부활,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!"
1,20239941,풀잎필름,,제작사,김덕중,컨버세이션
2,20239923,스토리앤유(주),,제작사,"이유진, 오기환",
3,20239922,스타팜,,제작사,오승일,
4,20176142,(주)스토리텔링,,"제작사,배급사,수입사",고대정,
5,20239921,(주)디오리지널스,,"제작사,배급사,수입사",차주동,
6,20239671,우리우리,,제작사,,생각 그런거 없는데요
7,20239670,주식회사 프로젝트4,,"제작사,배급사,수입사",윤영돈,"D컵의 알몸요양보호사,여상사의 스타킹 냄새,욕구불만 여상사,원수의 씨받는 참한 며느리,부장님과 탈의실에서,섹시한 아줌마 그 잡채,여부장의 크레이G스팟,연상녀 하고 또 하다,육덕진 동창생과의 2박3일"
8,20239902,한국영화배우조합,Screen Actors Guild of Korea,영화기관/단체-제작,박근태,
9,20111501,(주)인영트레이딩,,"배급사,수입사",서동일,"Q - 섹스힐링,카르페디엠,로봇,사랑의 침묵 ,믹막: 티르라리고 사람들"
0,20229267,(주)에스엠브이,,"제작사,배급사,수입사",김진현,
1,20204321,(주)보더레스랩,"Boderless Lab Co., Ltd","제작사,배급사,수입사",이승윤,늑대는 울지 않는다
2,20101123,연분홍치마,Documentary Group 'PINKS',제작사,한영희,"너에게 가는 길,공동정범,안녕 히어로,노라노,두 개의 문,종로의 기적,레즈비언 정치도전기,3xFTM"
3,20203361,스페이스 피넛,,제작사,,안상태 첫번째 단편선
4,20239668,주식회사 콘텐츠존,Contentszone,제작사,김민혁,우리 사랑이 향기로 남을 때
5,20229273,원컴퍼니,won company,제작사,민원미,라온하제
6,20239881,(주)더웨일컴퍼니,,제작사,이준한,아줌마
7,20239669,스튜디오설 ,,제작사,김석목,
8,20239841,(주)앤드마크,ANDMARQ,제작사,권오현,"서울대작전,소울메이트"
9,20239842,쏠레어파트너스(유),,제공,최평호,다음 소희
0,20130317,영화사 못,MOT Films,제작사,정재은,"고양이들의 아파트,말하는 건축 시티:홀"
1,20217483,플라시보 픽쳐스,,"제작사,배급사",임승현,
2,20139999,(주)무비락,MOVIEROCK,제작사,김재중,"달짝지근해,파일럿,아이,유열의 음악앨범,증인,이월,지금 만나러 갑니다,청년경찰,우아한 거짓말"
3,20229521,(주)1031스튜디오,,제작사,"윤나경, 안태운",
4,20203461,목영이엔엠,MOCKYOUNG EnM,"제작사,배급사,제공,제작서비스-기획,제작서비스-사운드,제작서비스-음악",신정목,"생각 그런거 없는데요,작은연못,고양이에게 밥을 주지 마세요 ,구라, 베토벤,고양이에게 밥을 주지 마세요 ,머리카락,노프라블랜드,이상,contract,나를 깨우는 바람,Forget Me Not,도영씨,무영인간,안전지대,엘리트,오늘의 메뉴,후회,어디에나 있는 어디에도 없는,해피엔딩이었으면 좋겠어,헬로우, 바이,흙금성,불청객,선아,대화의 조건,타의,궁궐에서"
5,20158048,(주)콘텐츠지오,CONTENT ZIO Inc.,"제작사,배급사,수입사,제공,상영업",최현묵,"그녀가 죽었다,1승,비광,1947 보스톤,롱 리브 더 킹: 목포 영웅, 작은 통일 ,메이트,계춘할망,우리는 썰매를 탄다"
6,20239667,패치워크,,"제작사,배급사",박진용,
7,20124216,더램프(주),The LAMP ltd.,제작사,박은경,"유령,별빛이 내린다,탈주,인생은 아름다워,삼진그룹 영어토익반,바이러스(가제),말모이,택시운전사,치명도수: RESET,해어화,쓰리 썸머 나잇,동창생,별이 빛나는 밤에"
8,20239821,주식회사 에이치앤드엔터테인먼트,H& ENTERTAINMENT,"제작사,배급사",홍민기,젠틀맨
9,20100435,에이케이엔터테인먼트(주),,"제작사,배급사,수입사",김지용,"양성인간,마터스 레인: 천사의 눈물,소피의 낭만적 연애와 그 후의 일상,아웃 오브 싱크,천계영웅,핑크 클라우드,토토리! 우리 둘만의 여름,마이 네버 리스트,테스와 보낸 여름,나는 살을 빼기로 결심했다,이집트 DJ 사와,초야: 맛의 유혹,하나식당,케이: 여배우 살인 사건의 비밀,나는 다른 언어로 꿈을 꾼다,청년 마르크스,아이 엠 낫 유어 니그로,어폴로지,레트리뷰션 : 분노의 복수,스카이와 친구들: 로보시티의 비밀,콰이어트 맨,밴드 비지트 - 어느 악단의 조용한 방문,커플 체인지"
0,20228984,(주)페이퍼반스튜디오,,제작사,정영홍,
1,20205101,스튜디오 우영수 주식회사,,제작사,김성희,
2,20239801,(주)체리코끼리,,제작사,최주영,"열여덟, 어른이 되는 나이"
3,20203221,이야픽쳐스 ,,제작사,,"천신당 신음 공주,미망인의 역습,거친 섹스의 두 가지 맛,거친 섹스의 두 가지 맛 무삭제판,구멍 길들이기,구멍 길들이기 무삭제판,그녀의 조건 배달,그녀의 조건 배달 무삭제판,여친의 조력자,여친의 조력자 무삭제판,장모: 두 번째 아내,부부교환의 목적2,엄마의 비밀친구,엄마와 딸의 은밀한 레슨,오르가즘특강2 무삭제,우리누나의 첫경험,엄마와 딸의 은밀한 밤,엄마의 과외선생"
