companyCd,companyNm,companyNmEn,companyPartNames,ceoNm,filmoNames
20100998,비유엠영화,,제작사,,"개그특공대 로봇트윈스,불꽃 슛 통키,영구와 흡혈귀 드라큐라,삼중성,우주의 용사 반달가면"
20101881,비젼 필름 컴퍼니,Vision Film Company,기타,,
20100147,비주얼베이(주),,"배급사,수입사",홍명욱,하치 이야기
20103323,비쥬비스워나스필름앤씨비즈웍스테이션,Biju Viswanath Film Ltd. & Cbizz Work Station PVT ,,,
20100872,비쥬얼 컬쳐럴 그룹 지타,visual cultural group zitta,,,"3xFTM,킵 워킹,오버 더 레즈보우"
20102907,비지비,Bizibi,"제작사,배급사",,
20102690,비지비프로덕션즈,Busy Bee Productions,제작사,,
20101975,비케이시네마,BK cinema,제작사,,비디오를 보는 남자
20100080,비케이시네마(주),,"제작사,기타",이석기,
20102362,비코우즈엔터테인먼트,Because Entertainment,제작사,,
20102072,비콘커뮤니케이션즈,Beacon Communications,제작사,,"패밀리맨,브링잇온,엔드 오브 데이즈,에어 포스 원,로드 투 웰빌"
20102079,비콘픽쳐스,Beacon Pictures,제작사,,"가디언,파이어월,우리, 사랑일까요?,래더 49,레이징 헬렌"
20103900,비터스엔드,Bitters End,"제작사,배급사,투자조합",,"나를 둘러싼 것들,쉐이디 글로브"
20104026,비터필름즈,Bitter Films,제작사,,
20100671,비테크놀로지,,"수입사,기타",,하트 브레이커스
20102682,비포지티브미디어그룹,Be-Positive Media Group,제작사,,
20103133,빅노이즈필름즈,Big Noise Films,제작사,,
20104076,빅대디비어것츠,Big Daddy Beer Guts,제작사,,
20102144,빅비치필름즈,Big Beach Films,제작사,,"어웨이 위 고,미스 리틀 선샤인"
20101572,빅스,,기타,,
20101979,빅월드시네마,Big World Cinema,"제작사,배급사",,
20103934,빅웨스트,Big West ,제작사,,
20102302,빅토리어스 필름,Victorious Films,제작사,,
20102153,빅투머로우프로덕션즈,Big Tomorrow Productions,제작사,,
20102148,빅티켓프로덕션즈,Big Ticket Productions,제작사,,
20102693,빅패티프로덕션즈,Big Phatty Productions ,제작사,,
20101122,빅풋필름,Big Foot Film ,제작사,,반드시 크게 들을 것
20103152,빅픽쳐미디어코퍼레이션,Big Picture Media Corporation,제작사,,
20103511,빅헤드프로덕션즈,Big Head Productions,제작사,,
