"","peopleNm","max_audiAcc","mean_audiAcc"
"275","리처드 클라우스",6190,6167
"276","리처드 펠런",9204,9204
"277","리치 무어",967984,967984
"278","릭 로먼 워",94511,53603.3333333333
"279","린-마누엘 미란다",7757,7757
"280","린 사우더랜드",93321,93321
"281","마누엘 J. 가르시아",7598,7598
"282","마렉 베네슈",5194,5194
"283","마르잔 사트라피",9246,9246
"284","마르탱 부르불롱",6213,6213
"285","마리나 네페도바",90885,90885
"286","마리아 소달",2673,2673
"287","마리아 슈라더",2149,2149
"288","마이크 데블린",34822,34822
"289","마이크 미첼",77910,77910
"290","마이크 밀스",9188,9188
"291","마이크 플래너건",9937,9937
"292","마이클 노어",32759,32759
"293","마이클 도허티",92635,92635
"294","마이클 마키마인",2796,2796
"295","마이클 메이슨",66901,66901
"296","마이클 메일러",791,791
"297","마이클 베이",99974,99974
"298","마이클 수지",7261,7261
"299","마이클 슈왈츠",2245,2245
"300","마이클 알메레이다",8505,8505
"301","마이클 차베즈",797370,436070.5
"302","마츠모토 소우시",8817,8817
"303","마츠타니 미츠에",8409,8409
"304","마커스 하먼",9858,9858
"305","마크 J. 프란시스",7952,7952
"306","마크 먼든",9015,9015
"307","마크 미로드",9558,9558
"308","마크 스티븐 존슨",898,898
"309","마크 윌리엄스",80784,45133.5
"310","마크 포스터",82254,82254
"311","마키타 카오리",4324,4324
"312","마티아스 마르지유",8324,8324
"313","마틴 맥도나",85357,85357
"314","마틴 슈라이어",713,713
"315","마틴 스코세이지",7281,7281
"316","마틴 캠벨",35694,22325
"317","마틴 코틱",19771,19771
"318","막심 볼코브",6800,6800
"319","막심 파디브",22534,22534
"320","말콤 D. 리",8913,8913
"321","매니 에르난데스",7018,7018
"322","매튜 본",996729,996729
"323","맥스 바버카우",613,613
"324","맥스 퍼그",7952,7952
"325","맷 리브스",901534,901534
"326","모홍진",6200,6200
"327","문은주",7132,7132
"328","미겔 앙헬 비바스",6025,6025
"329","미미 레더",9095,9095
"330","미야자키 고로",4728,4728
"331","미이케 다카시",8518,4881
"332","미즈노 시게노리",7824,7824
"333","미즈시마 츠토무",1133,1081.5
"334","미츠나카 스스무",95667,26954.5
"335","미키 코이치로",7647,7647
"336","미키 타카히로",95860,36782.3333333333
"337","민규동",8435,8435
"338","민환기",8167,8167
"339","바딤 피얼먼",4324,4324
"340","바실리 로벤스키",4178,4178
"341","바이론 하워드",97292,97292
"342","바즈 루어만",85319,85319
"343","박강아름",891,891
"344","박경목",9044,9044
"345","박규태",967439,967439
"346","박근영",4274,4274
"347","박기복",9128,9128
"348","박누리",88347,88347
"349","박대민",73362,73362
"350","박대원",18765,18765
"351","박동훈",89351,89351
"352","박루슬란",7831,7831
"353","박상용",14943,14943
"354","박상현",894025,894025
"355","박선주",6845,6845
"356","박성후",83256,83256
"357","박수진",75603,75603
"358","박영균",92880,92880
"359","박용집",72964,72964
"360","박이웅",757,757
"361","박재석",39228,39228
"362","박정배",897892,897892
"363","박제범",8457,8457
"364","박준수",338097,171356.666666667
"365","박지완",91868,91868
"366","박진영",38923,38923
"367","박찬욱",9946,9946
"368","박혜령",3395,3395
"369","박호찬",75603,75603
"370","박훈정",958786,816119.5
"371","박흥식",9378,9378
"372","박희곤",759842,759842
"373","반종 피산다나쿤",833226,833226
"374","발디마르 요한손",8962,8962
"375","발레리 페리스",6838,6838
"376","발타자르 코루마쿠르",90488,71065.5
"377","밥 퍼시케티",92159,92159
"378","방수인",9453,9453
"379","배종대",7028,7028
"380","백승환",9664,5741
"381","백재호",9616,9616
"382","베리 쿡",8838,8838
"383","벤 루윈",7594,7594
"384","벤 스타센",94474,52059.5
"385","벤 제틀린",6473,6473
"386","변규리",9204,9204
"387","변성현",90049,90049
"388","변영규",873099,465656.5
"389","변혁",763287,763287
"390","변희선",9789,9789
"391","볼프강 페터젠",757,757
"392","봉준영",5023,5023
"393","봉준호",9989649,9989649
"394","브라이언 싱어",9945756,9945756
"395","브라이언 핸슨",8491,8491
"396","브래드 버드",884713,884713
"397","브래드 페이튼",962559,962559
"398","브래들리 쿠퍼",85161,85161
"399","브리짓 부이요",5891,5891
"400","비나약 다스",8464,8464
"401","비보 베르즈롱",6821,6821
"402","비욘 룬게",26884,26884
"403","빅터 아즈에프",3758,3758
"404","빌 콘돈",8643,8643
"405","빌 홀더먼",9942,9942
"406","빌랄 팔라",62608,62608
"407","빔 벤더스",33478,33478
"408","사라 스미스",98643,98643
"409","사이먼 킨버그",857562,432311
