"","companyNm","Freq"
"282","(주)좋은 하늘",1
"283","(주)주피터필름",3
"284","(주)준필름",2
"285","(주)중헌홀딩스",1
"286","(주)지오필름",1
"287","(주)지이프로덕션",1
"288","(주)지티지그룹",1
"289","(주)찰나",1
"290","(주)초이락미디어",1
"291","(주)초이락컨텐츠컴퍼니",1
"292","(주)초이락컨텐츠팩토리",5
"293","(주)칵테일 미디어",1
"294","(주)캠프엔터테인먼트",2
"295","(주)컴퍼니엘",2
"296","(주)케빈앤컴퍼니",1
"297","(주)케이드래곤",1
"298","(주)케이티알파",28
"299","(주)케이퍼필름",1
"300","(주)켈빈클레인프로젝트",1
"301","(주)코코너",1
"302","(주)코코믹스 ",1
"303","(주)콘텐츠게이트",4
"304","(주)콘텐츠지",1
"305","(주)콘텐츠지오",1
"306","(주)콘텐츠판다",51
"307","(주)콘텐츠패밀리",3
"308","(주)쿠키픽쳐스",1
"309","(주)크레이지버드스튜디오",1
"310","(주)크리픽쳐스",2
"311","(주)큰물고기미디어",1
"312","(주)키다리스튜디오",2
"313","(주)키다리이엔티",21
"314","(주)키위미디어그룹",3
"315","(주)키이스트",2
"316","(주)키즈리턴",1
"317","(주)타임앤드스페이스",4
"318","(주)태양미디어그룹",1
"319","(주)태원엔터테인먼트",3
"320","(주)테이크원스튜디오",1
"321","(주)토리픽쳐스",1
"322","(주)트러스트스튜디오",1
"323","(주)트리니티엔터테인먼트",1
"324","(주)트리니티픽쳐스",1
"325","(주)트리플픽쳐스",17
"326","(주)트릭스터",1
"327","(주)티앤엘엔터테인먼트",2
"328","(주)티캐스트",8
"329","(주)티피에스컴퍼니",3
"330","(주)팀원픽쳐스",5
"331","(주)파란오이",1
"332","(주)파이브데이",1
"333","(주)파인스토리",1
"334","(주)팝엔터테인먼트",43
"335","(주)팬엔터테인먼트",5
"336","(주)퍼니플럭스",1
"337","(주)퍼스트런",30
"338","(주)퍼스펙티브픽쳐스",1
"339","(주)퍼펙트스톰필름",3
"340","(주)퍼플스트로우필름",1
"341","(주)페퍼민트앤컴퍼니",4
"342","(주)포스크리에이티브파티",1
"343","(주)포켓몬코리아",5
"344","(주)푸른나무픽쳐스",1
"345","(주)플레이그램",2
"346","(주)피터팬픽쳐스",1
"347","(주)필름295",1
"348","(주)필름모멘텀",1
"349","(주)필름몬스터",1
"350","(주)필름봉옥",1
"351","(주)필름케이",4
"352","(주)하얀소엔터테인먼트",1
"353","(주)하이라이트픽쳐스",1
"354","(주)하이브",2
"355","(주)하이브미디어코프",9
"356","(주)하이스트레인저",8
"357","(주)해오름이앤티",1
"358","(주)헤이데이필름컴퍼니",4
"359","(주)홈초이스",17
"360","(주)홍시쥔",1
"361","(주)홍필름",4
"362","(주)화인컷",41
"363","(주)훈프로",1
"364","(주)히스토리필름",7
"365","CGV ICECON",7
"366","CGV아트하우스",17
"367","CJ ENM",17
"368","KBS",5
"369","KBS 미디어",2
"370","M&M 인터내셔널",4
"371","SK 브로드밴드",1
"372","TBC",1
"373","TCO(주)더콘텐츠온",30
"374","THE 픽쳐스",2
"375","가톨릭문화원 ALMA ART",1
"376","강천산 픽쳐스",1
"377","경기영상위원회",1
"378","광화문시네마",1
"379","굿인스토리",1
"380","그리고픽처스",1
"381","그린나래미디어(주)",40
"382","글뫼 주식회사",1
"383","꿀잼컴퍼니(주)",1
"384","나로픽처스(주)",1
"385","나우필름(주)",2
"386","네이버웹툰 주식회사",1
"387","넷플릭스서비시스코리아 유한회사",8
"388","노바엔터테인먼트 ",1
"389","다이스필름(주)",1
"390","단테미디어랩",1
"391","대쉬 필름",1
"392","대원미디어(주)",12
"393","더램프(주)",3
"394","더핑크퐁컴퍼니(주)",2
"395","동우에이앤이(주)",5
"396","두물머리픽쳐스",1
"397","드라마하우스(주)",1
"398","디스트릭 몽",1
"399","라온아이(주)",1
"400","라이브(주)",1
"401","레인주니어 픽쳐스",1
"402","롯데쇼핑㈜롯데엔터테인먼트",5
"403","롯데컬처웍스(주)롯데엔터테인먼트",49
"404","리 공동체 영화사",1
"405","리드미컬그린(주)",1
"406","리양필름(주)",3
"407","리얼라이즈픽쳐스(주)",2
"408","리온픽쳐스(주)",1
"409","마름모필름",1
"410","메가박스중앙(주)",5
"411","명필름랩",1
"412","모티브픽쳐스(주)",2
"413","몬순픽쳐스",1
"414","몬스터유니온",1
"415","무브먼트",1
"416","무진영화사",1
"417","미들",1
"418","미디어나무",1
"419","미라지엔터테인먼트",3
"420","미시간벤처캐피탈(주)",4
"421","민영화사",1
"422","밀짚모자영화사(주)",1
"423","반짝반짝영화사(주)",1
"424","버티고필름",1
"425","베리굿스튜디오(주)",1
"426","변산문화산업전문(유)",1
"427","보아스필름 ",1
"428","보야저필름",2
"429","볼미디어(주) ",2
"430","봄내필름",1
"431","블루버드픽처스",1
"432","블루스카이스튜디오",1
"433","비케이 시네윈",2
"434","빅트리",1
"435","빅히트 엔터테인먼트",4
"436","삼삼공구 브라더스",1
"437","생의 한가운데",1
"438","서울액션스쿨",1
"439","소니 픽쳐스 인터내셔널 프로덕션",2
"440","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",35
"441","스토리텔러 픽처스",1
"442","스토리퐁",1
"443","스튜디오 드래곤",1
"444","스튜디오더블유바바(주)",1
"445","스튜디오엘론(주)",1
"446","시네마 뉴원",1
"447","시네마6411",1
"448","씨네마캣 픽쳐스",1
"449","씨네주 유한회사",2
"450","씨네쿼넌 픽쳐스",2
"451","씨제이 씨지브이(CJ CGV)(주)",26
"452","씨제이포디플렉스 주식회사",11
"453","아이 엠",3
"454","아이디앤플래닝그룹(주)",1
"455","아이피엑스(주)",4
"456","아툰즈",1
"457","아트 윙",1
"458","안목",1
"459","알토미디어(주)",1
"460","애니맥스 브로드캐스팅 코리아 유한회사",6
"461","애니투아트(주)",1
"462","에스엠지홀딩스 주식회사",8
"463","에이케이엔터테인먼트(주)",1
"464","에피파니(주)",1
"465","엔진을켜 스튜디오",1
"466","엠앤씨에프",2
"467","연분홍치마",1
"468","영화 <태일이> 1970인 제작위원",1
"469","영화사 달리기",1
"470","영화사 도로시(주)",1
"471","영화사 마농(주)",1
"472","영화사 무명",1
"473","영화사 배",1
"474","영화사 새삶",1
"475","영화사 이창",1
"476","영화사 집",6
"477","영화사 풀",1
"478","영화사 해그림 주식회사",1
"479","영화사 혼",1
"480","영화사김치(주)",1
"481","영화사올(주)",2
"482","영화진흥위원회",7
"483","예지림엔터테인먼트",10
"484","오누필름",1
"485","오드",17
"486","오스카10스튜디오",3
"487","오키넷",1
"488","오퍼스픽쳐스(유)",2
"489","와이드 릴리즈(주)",37
"490","우성엔터테인먼트",1
"491","우주레이블",1
"492","우키픽쳐스 주식회사",1
"493","워너 브러더스 픽쳐스",10
"494","워너브러더스 코리아(주)",53
"495","워터홀컴퍼니(주)",7
"496","원테이크필름",1
"497","월트 디즈니 픽쳐스",1
"498","월트디즈니컴퍼니코리아 유한책임회사",57
"499","웬에버스튜디오",1
"500","위드 라이언 픽쳐스",3
"501","유관순문화산업전문유한회사",1
"502","유니버설픽쳐스인터내셔널 코리아(유)",63
"503","유니온투자파트너스(주)",4
"504","유니콘미디어(주)",1
"505","유한회사 간이역",1
"506","유한회사 영화사 반딧불",1
"507","유한회사 질라라비",2
"508","이수창업투자(주)",4
"509","이스트드림시노펙스(주)",2
"510","이십세기폭스 인터내셔널 프로덕션",1
"511","이십세기폭스코리아(주)",13
"512","이안필름",1
"513","이언픽쳐스",1
"514","작업장 ‘봄’",1
"515","쟈니브로스(주)",1
"516","전태일재단",1
"517","정지우 필름",1
"518","제주에스엘(주)",1
"519","조아필름",1
"520","주기자 유한회사",1
"521","주마등필름",1
"522","㈜새한프로덕션",1
"523","㈜스토리셋",1
"524","주식회사 고래픽처스",2
"525","주식회사 다다쇼",1
"526","주식회사 단유필름",1
"527","주식회사 더쿱",13
"528","주식회사 덱스터 픽쳐스",1
"529","주식회사 디에스이이디",6
"530","주식회사 루믹스미디어",5
"531","주식회사 마운틴픽쳐스",3
"532","주식회사 모쿠슈라픽쳐스",6
"533","주식회사 무당벌레필름",1
"534","주식회사 브레인샤워",1
"535","주식회사 블루필름웍스",5
"536","주식회사 빅펀치픽쳐스",2
"537","주식회사 세미콜론스튜디오",1
"538","주식회사 씨네룩스",3
"539","주식회사 에스케이엠엔터테인먼트",1
"540","주식회사 에이비오엔터테인먼트",2
"541","주식회사 에이치앤드엔터테인먼트",1
"542","주식회사 엔픽플",1
"543","주식회사 왓챠",6
"544","주식회사 제이씨엔터웍스",1
"545","주식회사 제이오엔터테인먼트코리아",2
"546","주식회사 컨텐츠썬",3
"547","주식회사 케이무비엔터테인먼트",9
"548","주식회사 토닉프로젝트",1
"549","주식회사 티빙",3
"550","주식회사 티에스나린시네마",1
"551","주식회사 표범영화사",1
