"","peopleNm","Freq"
"803","제제 다카히사",1
"804","제프 와드로",1
"805","제프 파울러",2
"806","제프리 나흐마노프",1
"807","젠디 타타코브스키",1
"808","조 라이트",2
"809","조 루소",3
"810","조 마지오",1
"811","조 존스톤",1
"812","조 카나한",1
"813","조 페나",1
"814","조경훈",1
"815","조규장",1
"816","조근현",1
"817","조나단 데이턴",1
"818","조나단 레빈",1
"819","조나단 베이커",1
"820","조나단 헨스라이",1
"821","조니 우",1
"822","조던 필",2
"823","조민호",1
"824","조바른",1
"825","조석현",1
"826","조셉 코신스키",2
"827","조쉬 베이커",1
"828","조쉬 분",1
"829","조쉬 트랭크",1
"830","조슬예",1
"831","조시 쿨리",1
"832","조안 스파",1
"833","조엘 크로포드",1
"834","조영광",1
"835","조용선",1
"836","조원희",1
"837","조은성",1
"838","조은지",1
"839","조이 주",1
"840","조일형",1
"841","조정래",2
"842","조지 클루니",1
"843","조진모",1
"844","조철현",1
"845","조하네스 로버츠",1
"846","존 R. 레오네티",1
"847","존 루카스",1
"848","존 매든",1
"849","존 쉬",1
"850","존 스티븐슨",1
"851","존 어윈",2
"852","존 왓츠",3
"853","존 추",2
"854","존 크래신스키",2
"855","존 터틀타웁",1
"856","존 파브로",1
"857","존 하이암스",1
"858","종위",1
"859","주남",1
"860","주동",1
"861","주진우",1
"862","줄리아 듀코나우",1
"863","줄리아 하트",1
"864","줄리앙 프루네",1
"865","증국상",1
"866","증헌림",1
"867","지안밍 후앙",1
"868","진보 마사토",1
"869","진옥훈",1
"870","진재운",1
"871","질스 파겟-브레너",1
"872","차봉주",1
"873","차야놉 분프라콥",1
"874","찬드라세카란",1
"875","찰리 스티즈",1
"876","찰스 마틴 스미스",1
"877","채드 스타헬스키",1
"878","채리스 카스트로 스미스",1
"879","채밀결",1
"880","척 콘젤만",1
"881","천명관",2
"882","최국희",2
"883","최동훈",1
"884","최상훈",1
"885","최성현",1
"886","최소망",1
"887","최신규",5
"888","최원섭",1
"889","최윤태",1
"890","최은종",1
"891","최재훈",3
"892","최정민",1
"893","최정열",1
"894","최종태",1
"895","최종학",1
"896","최하나",1
"897","추상미",1
"898","추창민",1
"899","츠츠미 유키히코",2
"900","츠키카와 쇼",2
"901","카나사키 타카오미",1
"902","카를로스 로페즈 에스트라다",1
"903","카를로스 살다나",1
"904","카말 반살",1
"905","카스텐 킬러리치",2
"906","카와나미 에이사쿠",2
"907","카와노 아야코",2
"908","카와마타 히로시",1
"909","카일 발다",1
"910","카키모토 코다이",2
"911","칸 울카이",1
"912","칼 멘데스",1
"913","캐리 솔로몬",1
"914","캐리 후쿠나가",1
"915","캐서린 비글로우",1
"916","캐스틸 랜던",2
"917","캐시 얀",1
"918","캘런 브런커",1
"919","캘리 애스버리",1
"920","캣 코이로",1
"921","케네스 브래너",2
"922","케빈 맥도널드",1
"923","케빈 콜쉬",1
"924","케이트 쇼트랜드",1
"925","켄 로치",1
"926","켄 마리노",1
"927","켈리 레인하르트",1
"928","코고나다",1
"929","코다마 테츠로",1
"930","코린 하디",1
"931","콘래드 베논",2
"932","콜린 트레보로우",1
"933","쿄고쿠 타카히코",1
"934","쿠엔틴 타란티노",1
"935","퀴 응우옌",1
"936","크레이그 조벨",1
"937","크레이그 질레스피",1
"938","크리스 리노드",1
"939","크리스 버틀러",1
"940","크리스 벅",1
"941","크리스 샌더스",1
"942","크리스찬 구드가스트",1
"943","크리스찬 리버스",1
"944","크리스찬 하스",1
"945","크리스토스 니코우",1
"946","크리스토퍼 놀란",1
"947","크리스토퍼 랜던",3
"948","크리스토퍼 렌즈",1
"949","크리스토퍼 맥쿼리",1
"950","크리스토퍼 젠킨스",1
"951","크리스토프 라우엔슈타인",2
"952","크리스티안 펫졸드",1
"953","크리스티앙 볼크만",1
"954","클레어 맥카시",1
"955","클로이 자오",2
"956","클린트 이스트우드",1
"957","키에론 J 월쉬",1
"958","키이스 토마스",1
"959","타니구치 고로",1
"960","타릭 살레",1
"961","타마르 반 덴 도프",1
"962","타무라 코타로",1
"963","타이카 와이티티",2
"964","타일러 닐슨",1
"965","타치카와 유즈루",1
"966","타카하시 시게하루",1
"967","타카하시 와타루",2
"968","타케우치 히데키",1
"969","탁세웅",1
"970","테이트 테일러",1
"971","테일러 쉐리던",1
"972","토니 밴크로프트",1
"973","토드 로빈슨",1
"974","토드 필립스",1
"975","토드 헤인즈",1
"976","토르비욘 크리스토퍼센",1
"977","토마스 맥카시",1
"978","토마스 베주차",1
"979","토마스 보덴스타인",1
"980","토마스 빈터베르그",2
"981","토마스 아스트뤽",1
"982","토마스 자보",1
"983","토미 위르콜라",1
"984","톰 고미칸",1
"985","톰 도나휴",1
"986","톰 맥그라스",1
"987","톰 하퍼",2
"988","트래비스 나이트",1
"989","티노 스트럭맨",1
