,movie,score,audience,score_edited,aud_edited,avg score,avg aud
670,['스트레인지 데이즈'],['7.78'],['수상내역보기'],[7.78],0,7.78,0.0
671,['스타워즈: 깨어난 포스'],['8.21'],['327만명'],[8.21],[3270000.0],8.21,3270000.0
672,['제15회 미쟝센 단편영화제 사랑에 관한 짧은 필름1'],['missing data'],['missing data'],0,0,0.0,0.0
673,"['리틀 뱀파이어', '아인보: 아마존의 전설']","['5.14', '6.50']","['2,698명', '5.1만명']","[5.14, 6.5]","[2698.0, 51000.0]",5.82,26849.0
674,['미열'],['missing data'],['missing data'],0,0,0.0,0.0
675,['늑대들'],['missing data'],['missing data'],0,0,0.0,0.0
676,['더 보이스'],['7.53'],['1.2만명'],[7.53],[12000.0],7.53,12000.0
677,['털기 아니면 죽기 : 제한시간 30분'],['missing data'],['missing data'],0,0,0.0,0.0
678,['나를 차버린 스파이'],['8.20'],['26만명'],[8.2],[260000.0],8.2,260000.0
679,"['사랑해, 리우']",['missing data'],['missing data'],0,0,0.0,0.0
680,['마블원샷: 올 헤일 더 킹'],['missing data'],['missing data'],0,0,0.0,0.0
681,['바빌론'],['8.37'],['20만명'],[8.37],[200000.0],8.37,200000.0
682,['세상에서 고양이가 사라진다면'],['8.72'],['7만명'],[8.72],[70000.0],8.72,70000.0
683,[],0,0,0,0,0.0,0.0
684,['빅풋 주니어'],['9.00'],['1.4만명'],[9.0],[14000.0],9.0,14000.0
685,[],0,0,0,0,0.0,0.0
686,['위대한 개츠비'],['8.46'],['144만명'],[8.46],[1440000.0],8.46,1440000.0
687,['정글 크루즈'],['7.52'],['25만명'],[7.52],[250000.0],7.52,250000.0
688,['걸즈 앤 판처 최종장 제1화'],['9.53'],"['4,380명']",[9.53],[4380.0],9.53,4380.0
689,['더 박스'],['missing data'],['missing data'],0,0,0.0,0.0
690,['피어썸'],['5.26'],"['2,670명']",[5.26],[2670.0],5.26,2670.0
691,[],0,0,0,0,0.0,0.0
692,['몬테 카를로'],['missing data'],['missing data'],0,0,0.0,0.0
693,['그러나... 복지를 버리는 시대로'],['missing data'],['missing data'],0,0,0.0,0.0
694,['한국 환경영화의 흐름 단편 3'],['missing data'],['missing data'],0,0,0.0,0.0
695,['나이트 레이더스'],['3.76'],"['2,697명']",[3.76],[2697.0],3.76,2697.0
696,['렛 미 인'],['8.51'],['10만명'],[8.51],[100000.0],8.51,100000.0
697,[],0,0,0,0,0.0,0.0
698,['독전'],['13만명'],['missing data'],[0],0,0.0,0.0
699,['데자뷰'],['6.62'],['4.8만명'],[6.62],[48000.0],6.62,48000.0
700,['호스트: 접속금지'],['6.79'],['1.3만명'],[6.79],[13000.0],6.79,13000.0
701,[],0,0,0,0,0.0,0.0
702,['에브리타임 아이 다이'],['5.02'],"['5,009명']",[5.02],[5009.0],5.02,5009.0
703,['글래스'],['8.06'],['46만명'],[8.06],[460000.0],8.06,460000.0
704,[],0,0,0,0,0.0,0.0
705,"['안녕, 나의 소녀']",['7.09'],['11만명'],[7.09],[110000.0],7.09,110000.0
