"","companyNm","mean_audiAcc"
"425","베리굿스튜디오(주)",97089
"426","변산문화산업전문(유)",7781
"427","보아스필름 ",3558
"428","보야저필름",508478.5
"429","볼미디어(주) ",51403.5
"430","봄내필름",4274
"431","블루버드픽처스",673
"432","블루스카이스튜디오",57299
"433","비케이 시네윈",54153
"434","빅트리",684
"435","빅히트 엔터테인먼트",214109
"436","삼삼공구 브라더스",86552
"437","생의 한가운데",4753
"438","서울액션스쿨",12040
"439","소니 픽쳐스 인터내셔널 프로덕션",488782
"440","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",685815.571428571
"441","스토리텔러 픽처스",9072
"442","스토리퐁",91868
"443","스튜디오 드래곤",98245
"444","스튜디오더블유바바(주)",93037
"445","스튜디오엘론(주)",4324
"446","시네마 뉴원",9232
"447","시네마6411",8167
"448","씨네마캣 픽쳐스",80572
"449","씨네주 유한회사",429341
"450","씨네쿼넌 픽쳐스",9212.5
"451","씨제이 씨지브이(CJ CGV)(주)",42188.9615384615
"452","씨제이포디플렉스 주식회사",21828.9090909091
"453","아이 엠",8469.33333333333
"454","아이디앤플래닝그룹(주)",9378
"455","아이피엑스(주)",225956.25
"456","아툰즈",98404
"457","아트 윙",8465
"458","안목",9044
"459","알토미디어(주)",9937
"460","애니맥스 브로드캐스팅 코리아 유한회사",15558.8333333333
"461","애니투아트(주)",3108
"462","에스엠지홀딩스 주식회사",155041.375
"463","에이케이엔터테인먼트(주)",6696
"464","에피파니(주)",95329
"465","엔진을켜 스튜디오",6430
"466","엠앤씨에프",7469
"467","연분홍치마",9204
"468","영화 <태일이> 1970인 제작위원",98744
"469","영화사 달리기",97085
"470","영화사 도로시(주)",9742
"471","영화사 마농(주)",18765
"472","영화사 무명",1790
"473","영화사 배",715194
"474","영화사 새삶",7028
"475","영화사 이창",8604
"476","영화사 집",728971
"477","영화사 풀",33478
"478","영화사 해그림 주식회사",9400660
"479","영화사 혼",8584
"480","영화사김치(주)",41206
"481","영화사올(주)",530449.5
"482","영화진흥위원회",5700.85714285714
"483","예지림엔터테인먼트",26074.4
"484","오누필름",9934
"485","오드",15295.0588235294
"486","오스카10스튜디오",380756
"487","오키넷",18142
"488","오퍼스픽쳐스(유)",4650
"489","와이드 릴리즈(주)",9520.21621621622
"490","우성엔터테인먼트",9988
"491","우주레이블",9020
"492","우키픽쳐스 주식회사",8602
"493","워너 브러더스 픽쳐스",477582.9
"494","워너브러더스 코리아(주)",365393.452830189
"495","워터홀컴퍼니(주)",159285.714285714
"496","원테이크필름",7028
"497","월트 디즈니 픽쳐스",975818
"498","월트디즈니컴퍼니코리아 유한책임회사",1295178.73684211
"499","웬에버스튜디오",920
"500","위드 라이언 픽쳐스",36304.3333333333
"501","유관순문화산업전문유한회사",8535
"502","유니버설픽쳐스인터내셔널 코리아(유)",333044.777777778
"503","유니온투자파트너스(주)",228765.25
"504","유니콘미디어(주)",59282
"505","유한회사 간이역",2554
"506","유한회사 영화사 반딧불",12040
"507","유한회사 질라라비",53212
"508","이수창업투자(주)",56916
"509","이스트드림시노펙스(주)",8755.5
"510","이십세기폭스 인터내셔널 프로덕션",68894
"511","이십세기폭스코리아(주)",1052809.61538462
"512","이안필름",7447
"513","이언픽쳐스",6247
"514","작업장 ‘봄’",3975
"515","쟈니브로스(주)",99812
"516","전태일재단",98744
"517","정지우 필름",939256
"518","제주에스엘(주)",6303
"519","조아필름",705
"520","주기자 유한회사",36895
"521","주마등필름",6619
"522","㈜새한프로덕션",6596
"523","㈜스토리셋",6021
"524","주식회사 고래픽처스",49939
"525","주식회사 다다쇼",9426
"526","주식회사 단유필름",31472
"527","주식회사 더쿱",9083.46153846154
"528","주식회사 덱스터 픽쳐스",882485
"529","주식회사 디에스이이디",32581.6666666667
"530","주식회사 루믹스미디어",6121.8
"531","주식회사 마운틴픽쳐스",37425.6666666667
"532","주식회사 모쿠슈라픽쳐스",5828.66666666667
"533","주식회사 무당벌레필름",9128
"534","주식회사 브레인샤워",7639
"535","주식회사 블루필름웍스",9225.6
"536","주식회사 빅펀치픽쳐스",4966240.5
"537","주식회사 세미콜론스튜디오",9015
"538","주식회사 씨네룩스",6833
"539","주식회사 에스케이엠엔터테인먼트",9128
"540","주식회사 에이비오엔터테인먼트",5324087.5
"541","주식회사 에이치앤드엔터테인먼트",79699
"542","주식회사 엔픽플",8495
"543","주식회사 왓챠",14407.3333333333
"544","주식회사 제이씨엔터웍스",5173
"545","주식회사 제이오엔터테인먼트코리아",46236.5
"546","주식회사 컨텐츠썬",8275
"547","주식회사 케이무비엔터테인먼트",1279077.66666667
"548","주식회사 토닉프로젝트",99130
"549","주식회사 티빙",84677.3333333333
"550","주식회사 티에스나린시네마",8495
"551","주식회사 표범영화사",77649
"552","주식회사 풍경소리",23719
"553","주식회사 플러스미디어엔터테인먼트",921018
"554","주식회사씨앤에스트레이드",3986
"555","㈜에스비에스",8471
"556","㈜에스에이치엔터앤컴퍼니",2515
"557","㈜영화사 백두대간",33478
"558","㈜인디스토리",5238
"559","㈜코리아스크린",45867
"560","㈜형설앤",6596
"561","㈜희원엔터테인먼트",17689
"562","찬란",10985.7
"563","창작집단3355 (A.3355)",891
"564","청년필름(주)",529176.5
